Account No,DATE,TRANSACTION DETAILS,CHQ.NO.,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT,
4001468324,2022-03-22,Account Opened,,2022-03-22,0.00,0.00,0.00,
4001468324,2022-03-22,New Deposit,,2022-03-22,0.00,5000.00,5000.00,
8009857096,2022-03-22,Account Opened,,2022-03-22,0.00,0.00,0.00,
8009857096,2022-03-22,New Deposit,,2022-03-22,0.00,5231.21,5231.21,
4001468324,2022-03-22,Transfer from 8009857096,,2022-03-22,0.00,200.20,5200.20,
8009857096,2022-03-22,Transfer to 4001468324,,2022-03-22,200.20,0.00,5031.01,
4001468324,2022-03-22,Transfer from 8009857096,,2022-03-22,0.00,500.11,5700.31,
8009857096,2022-03-22,Transfer to 4001468324,,2022-03-22,500.11,0.00,4530.90,
8009857096,2022-03-22,New Withdrawal,,2022-03-22,100.00,0.00,4430.90,
4002969720,2022-03-29,Account Opened,,2022-03-29,0.00,0.00,0.00,
4001468324,2022-03-29,New Deposit,,2022-03-29,0.00,5000.00,10700.31,
4001468324,2022-03-29,New Deposit,,2022-03-29,0.00,5000.11,15700.42,
4001468324,2022-03-29,New Withdrawal,,2022-03-29,200.00,0.00,15500.42,
8009857096,2022-03-29,Transfer from 4001468324,,2022-03-29,0.00,999.99,5430.89,
4001468324,2022-03-29,Transfer to 8009857096,,2022-03-29,999.99,0.00,14500.43,
8009857096,2022-03-29,New Withdrawal,,2022-03-29,500.00,0.00,4930.89,
8009857096,2022-03-29,New Withdrawal,,2022-03-29,5000.00,0.00,-69.11,
8009857096,2022-03-29,New Withdrawal,,2022-03-29,2000.00,0.00,-2069.11,
4009461339,2022-03-29,Account Opened,,2022-03-29,0.00,0.00,0.00,
8002299532,2022-03-29,Account Opened,,2022-03-29,0.00,0.00,0.00,
4001468324,2022-03-29,New Deposit,,2022-03-29,0.00,5000.00,19500.42,
4001468324,2022-03-29,New Deposit,,2022-03-29,0.00,5000.11,24500.53,
4001468324,2022-03-29,New Withdrawal,,2022-03-29,200.00,0.00,24300.53,
8009857096,2022-03-29,Transfer from 4001468324,,2022-03-29,0.00,999.00,-1070.11,
4001468324,2022-03-29,Transfer to 8009857096,,2022-03-29,999.00,0.00,23301.53,
4001468324,2022-03-29,New Deposit,,2022-03-29,0.00,5000.00,28301.52,
4001468324,2022-03-29,New Deposit,,2022-03-29,0.00,500.11,28801.63,
4001468324,2022-03-29,New Withdrawal,,2022-03-29,200.00,0.00,28601.63,
8009857096,2022-03-29,Transfer from 4001468324,,2022-03-29,0.00,999.00,-71.11,
4001468324,2022-03-29,Transfer to 8009857096,,2022-03-29,999.00,0.00,27602.63,
8009857096,2022-03-29,New Withdrawal,,2022-03-29,500.00,0.00,-571.11,
8009857096,2022-03-29,New Withdrawal,,2022-03-29,2000.00,0.00,-2571.11,
4000502214,2022-03-29,Account Opened,,2022-03-29,0.00,0.00,0.00,
8005036503,2022-03-29,Account Opened,,2022-03-29,0.00,0.00,0.00,
